Orthogroup	Dgub_JAMKOV01	D_mel_protein
OG0000010	KAI8046105.1	FBpp0100093, FBpp0306410, FBpp0306411, FBpp0306409, FBpp0100086, FBpp0100097, FBpp0100098, FBpp0100096, FBpp0100092, FBpp0100091, FBpp0100082, FBpp0100083, FBpp0100094, FBpp0303319, FBpp0084064, FBpp0100084, FBpp0100095, FBpp0290796, FBpp0303318, FBpp0290797, FBpp0100089, FBpp0084063, FBpp0089227
OG0000011	KAI8043672.1	FBpp0089057, FBpp0089058, FBpp0089063, FBpp0089068, FBpp0089067, FBpp0089062, FBpp0089072, FBpp0089071, FBpp0089064, FBpp0089056, FBpp0089070, FBpp0089059, FBpp0089065, FBpp0312572, FBpp0089061, FBpp0089066, FBpp0089069, FBpp0089060
OG0000012	KAI8046580.1	FBpp0423033, FBpp0423034, FBpp0306764, FBpp0306771, FBpp0083366, FBpp0306766, FBpp0306765, FBpp0083369, FBpp0306768, FBpp0306770, FBpp0423032, FBpp0306767, FBpp0083365, FBpp0112168, FBpp0083368, FBpp0083367, FBpp0083370, FBpp0306769, FBpp0306763, FBpp0306772
OG0000013	KAI8036125.1, KAI8036194.1	FBpp0305778, FBpp0305779, FBpp0291805, FBpp0291800, FBpp0291802, FBpp0291803, FBpp0291804, FBpp0291801, FBpp0310580, FBpp0428093, FBpp0310579
OG0000014	KAI8046002.1	FBpp0312019, FBpp0082254, FBpp0082253
OG0000014	KAI8036992.1	FBpp0071448
OG0000014	KAI8037784.1	FBpp0078131, FBpp0306215
OG0000014	KAI8045292.1	FBpp0082597
OG0000014	KAI8037538.1	FBpp0085365
OG0000014	KAI8045549.1	FBpp0082121
OG0000014	KAI8039904.1	FBpp0309075
OG0000014	KAI8034040.1	FBpp0305934, FBpp0070789
OG0000015	KAI8034865.1	FBpp0074313
OG0000015	KAI8034867.1, KAI8033092.1	FBpp0312319, FBpp0088599, FBpp0088603, FBpp0292034, FBpp0292033, FBpp0300520, FBpp0312318, FBpp0088602, FBpp0312316, FBpp0088600, FBpp0291167, FBpp0088601, FBpp0304578, FBpp0300519, FBpp0088605
OG0000016	KAI8040658.1	FBpp0305201, FBpp0422975, FBpp0293631, FBpp0112330, FBpp0293632, FBpp0293633, FBpp0293630, FBpp0112331
OG0000017	KAI8042557.1	FBpp0298830, FBpp0080463, FBpp0080460, FBpp0080457, FBpp0298831, FBpp0080453, FBpp0291041, FBpp0080459, FBpp0080455, FBpp0080456, FBpp0080452, FBpp0291042, FBpp0298828, FBpp0298829, FBpp0298827, FBpp0080458, FBpp0080462, FBpp0291043, FBpp0080464, FBpp0080454
OG0000018	KAI8046199.1	FBpp0307756, FBpp0307755, FBpp0293542, FBpp0307757, FBpp0307753, FBpp0307752, FBpp0292667, FBpp0289172, FBpp0293543, FBpp0307751, FBpp0307754, FBpp0307758
OG0000019	KAI8043473.1	FBpp0292448, FBpp0304678, FBpp0292447, FBpp0292451, FBpp0292450, FBpp0304677, FBpp0292445
OG0000020	KAI8044031.1	FBpp0428235, FBpp0428234, FBpp0428233, FBpp0082717, FBpp0082718, FBpp0099737, FBpp0306673, FBpp0082715, FBpp0082716, FBpp0303074, FBpp0099738, FBpp0293608, FBpp0293609, FBpp0290519, FBpp0099736, FBpp0082719
OG0000022	KAI8043165.1	FBpp0289186, FBpp0289188, FBpp0306290, FBpp0289190, FBpp0080995, FBpp0080996, FBpp0306288, FBpp0289189, FBpp0289187, FBpp0306289, FBpp0297157, FBpp0297158
OG0000023	KAI8040500.1	FBpp0296978, FBpp0305263, FBpp0305262, FBpp0296977, FBpp0076343, FBpp0089427, FBpp0296976, FBpp0076345, FBpp0296979
OG0000024	KAI8035583.1	FBpp0301994, FBpp0428180, FBpp0300453, FBpp0290759, FBpp0290758, FBpp0301996, FBpp0300451, FBpp0111738, FBpp0111737, FBpp0111739, FBpp0073914, FBpp0301995, FBpp0300452, FBpp0073915, FBpp0089157, FBpp0300454, FBpp0309110, FBpp0111736, FBpp0300450, FBpp0300456, FBpp0312377, FBpp0300455
OG0000025	KAI8045979.1	FBpp0307404, FBpp0307400, FBpp0310353, FBpp0307401, FBpp0290592, FBpp0290593, FBpp0307399, FBpp0307402, FBpp0310354, FBpp0310355, FBpp0307403
OG0000026	KAI8037415.1	FBpp0289035, FBpp0289043, FBpp0289033, FBpp0289040, FBpp0289041, FBpp0289034, FBpp0289042, FBpp0289038, FBpp0289036, FBpp0289039, FBpp0289032, FBpp0292219, FBpp0297637, FBpp0289037
OG0000028	KAI8033071.1, KAI8033067.1	FBpp0305508, FBpp0305509, FBpp0305505, FBpp0305506, FBpp0070493, FBpp0070487, FBpp0070489, FBpp0070491, FBpp0070488, FBpp0070495, FBpp0070496, FBpp0070494, FBpp0305504, FBpp0070498, FBpp0070497, FBpp0070485, FBpp0305507
OG0000029	KAI8034344.1	FBpp0311352, FBpp0073684, FBpp0073683, FBpp0309481, FBpp0301823, FBpp0309482, FBpp0100013, FBpp0291137, FBpp0291135, FBpp0300553, FBpp0291133, FBpp0291134, FBpp0073682, FBpp0301822, FBpp0301821, FBpp0291136, FBpp0100015, FBpp0300554
OG0000031	KAI8036254.1	FBpp0428217, FBpp0302944, FBpp0301786, FBpp0301785, FBpp0099800, FBpp0110340, FBpp0302950, FBpp0302943, FBpp0302946, FBpp0302948, FBpp0302949, FBpp0302947, FBpp0352244, FBpp0086449, FBpp0301784, FBpp0290528, FBpp0291373, FBpp0352256
OG0000032	KAI8036919.1, KAI8036917.1, KAI8036914.1	FBpp0301121, FBpp0301115, FBpp0301113, FBpp0301111, FBpp0423414, FBpp0301110, FBpp0301117, FBpp0301114, FBpp0301118, FBpp0301120, FBpp0309427, FBpp0301123, FBpp0301122, FBpp0301119, FBpp0301112, FBpp0301116
OG0000034	KAI8045355.1	FBpp0082105, FBpp0082106, FBpp0082107, FBpp0082147, FBpp0081956, FBpp0081986
OG0000034	KAI8045881.1	FBpp0082514, FBpp0082517, FBpp0082516, FBpp0082518, FBpp0082519, FBpp0307982, FBpp0082515
OG0000034	KAI8041484.1	FBpp0075504
OG0000034	KAI8037046.1	FBpp0086694, FBpp0308990
OG0000035	KAI8042188.1	FBpp0079228, FBpp0297935
OG0000035	KAI8036927.1	FBpp0071545
OG0000035	KAI8045697.1	FBpp0297167, FBpp0088845
OG0000035	KAI8044379.1	FBpp0303067, FBpp0083268
OG0000035	KAI8042173.1	FBpp0297173
OG0000035	KAI8042213.1	FBpp0080682, FBpp0309279
OG0000035	KAI8046520.1	FBpp0291237
OG0000036	KAI8044106.1	FBpp0289495, FBpp0085239, FBpp0289496, FBpp0289497, FBpp0111778, FBpp0111777, FBpp0085247, FBpp0289492, FBpp0085244, FBpp0085237, FBpp0085245, FBpp0085242, FBpp0085243, FBpp0111779, FBpp0085241, FBpp0085246, FBpp0312011, FBpp0289498, FBpp0085238
OG0000037	KAI8040345.1	FBpp0303928, FBpp0423256
OG0000037	KAI8040344.1	FBpp0291072, FBpp0428241, FBpp0303931, FBpp0288882, FBpp0303930, FBpp0303927, FBpp0288881
OG0000038	KAI8035840.1	FBpp0288751, FBpp0085772, FBpp0085769, FBpp0288757, FBpp0099675, FBpp0288753, FBpp0309393, FBpp0085770, FBpp0288752, FBpp0309395, FBpp0288756, FBpp0288755
OG0000039	KAI8035182.1	FBpp0300537, FBpp0305870, FBpp0088916, FBpp0088912, FBpp0300540, FBpp0111740, FBpp0305869, FBpp0309127, FBpp0300538, FBpp0309128, FBpp0110333, FBpp0099784, FBpp0088913, FBpp0300539
OG0000040	KAI8035044.1	FBpp0293723, FBpp0099732, FBpp0288502, FBpp0293721, FBpp0288503, FBpp0293720, FBpp0293722, FBpp0293726, FBpp0293724, FBpp0293725, FBpp0073832, FBpp0099734, FBpp0293719
OG0000042	KAI8041827.1	FBpp0300536, FBpp0300534, FBpp0300533, FBpp0300535, FBpp0300532, FBpp0305792, FBpp0423336, FBpp0290688, FBpp0290687
OG0000044	KAI8045831.1	FBpp0293837, FBpp0293841, FBpp0293838, FBpp0293839, FBpp0293847, FBpp0293842
OG0000044	KAI8045837.1	FBpp0301889, FBpp0293840
OG0000046	KAI8044984.1	FBpp0271744, FBpp0307750
OG0000046	KAI8034828.1	FBpp0074283
OG0000046	KAI8041144.1	FBpp0288420
OG0000046	KAI8043222.1	FBpp0293284
OG0000046	KAI8039056.1	FBpp0292225
OG0000047	KAI8036866.1	FBpp0302908, FBpp0292201, FBpp0302970, FBpp0292202, FBpp0303466, FBpp0302905, FBpp0292200, FBpp0292199, FBpp0297088
OG0000048	KAI8037839.1	FBpp0306065, FBpp0306071, FBpp0099787
OG0000048	KAI8037703.1	FBpp0306067, FBpp0297119, FBpp0306064, FBpp0297121, FBpp0306068, FBpp0306066, FBpp0306072, FBpp0306069, FBpp0306070
OG0000049	KAI8043409.1, KAI8042360.1, KAI8042358.1	FBpp0306254, FBpp0306252, FBpp0306255, FBpp0306259, FBpp0306256, FBpp0306258, FBpp0310561, FBpp0306253, FBpp0306257
OG0000050	KAI8044779.1	FBpp0390600, FBpp0390603, FBpp0390601, FBpp0390599, FBpp0305967, FBpp0293366, FBpp0293367, FBpp0305966, FBpp0390602
OG0000051	KAI8045824.1, KAI8045822.1	FBpp0301593, FBpp0301594, FBpp0290946, FBpp0301596, FBpp0301595, FBpp0290940, FBpp0290945, FBpp0290944, FBpp0306659, FBpp0290941, FBpp0290942, FBpp0301597
OG0000053	KAI8039208.1	FBpp0112044, FBpp0072872, FBpp0072873, FBpp0072868, FBpp0072870, FBpp0072862, FBpp0072871, FBpp0072864, FBpp0072861, FBpp0072863, FBpp0072865, FBpp0072866, FBpp0112042, FBpp0304423, FBpp0072869, FBpp0112043
OG0000054	KAI8046724.1	FBpp0306629, FBpp0306631, FBpp0083179, FBpp0110217, FBpp0110219, FBpp0110218, FBpp0083178
OG0000055	KAI8033806.1	FBpp0070251, FBpp0289656, FBpp0070253, FBpp0304572, FBpp0289657, FBpp0303432
OG0000055	KAI8033805.1	FBpp0292595, FBpp0428199, FBpp0289658, FBpp0300638, FBpp0070256, FBpp0292596, FBpp0070252, FBpp0292597, FBpp0070255
OG0000057	KAI8035544.1	FBpp0305813, FBpp0305812, FBpp0294032, FBpp0305811, FBpp0309409, FBpp0073809, FBpp0305810
OG0000058	KAI8041929.1, KAI8037465.1, KAI8035594.1, KAI8044549.1, KAI8034224.1, KAI8043753.1	FBpp0074269
OG0000058	KAI8045248.1, KAI8033366.1, KAI8034056.1	FBpp0310276
OG0000059	KAI8040272.1	FBpp0076017
OG0000059	KAI8037498.1	FBpp0304547, FBpp0086775
OG0000059	KAI8038418.1	FBpp0111999, FBpp0086239
OG0000059	KAI8038422.1	FBpp0086235
OG0000059	KAI8037584.1	FBpp0086750
OG0000059	KAI8040273.1	FBpp0306222, FBpp0076015, FBpp0306221
OG0000060	KAI8046282.1	FBpp0302734, FBpp0112249, FBpp0112250, FBpp0078540, FBpp0112253, FBpp0112252, FBpp0290984, FBpp0078539, FBpp0078538, FBpp0290985, FBpp0078541, FBpp0290983, FBpp0078537, FBpp0290013, FBpp0307585, FBpp0302644, FBpp0099938, FBpp0099936, FBpp0290982, FBpp0290986
OG0000061	KAI8035924.1, KAI8035920.1	FBpp0071706, FBpp0071707, FBpp0071708, FBpp0071709, FBpp0309744, FBpp0071704, FBpp0112017, FBpp0071705, FBpp0291504, FBpp0291501, FBpp0291502, FBpp0291503
OG0000062	KAI8040067.1	FBpp0302921
OG0000062	KAI8040066.1, KAI8040064.1	FBpp0292492, FBpp0292489, FBpp0292494, FBpp0292486, FBpp0302923, FBpp0302924, FBpp0292490, FBpp0302922, FBpp0292487, FBpp0292488, FBpp0292491
OG0000063	KAI8044505.1	FBpp0307489, FBpp0300854
OG0000066	KAI8043075.1, KAI8042094.1, KAI8043072.1, KAI8043073.1	FBpp0111796, FBpp0077346, FBpp0077349, FBpp0302940, FBpp0302941, FBpp0110203, FBpp0307372, FBpp0077347, FBpp0077348, FBpp0307373
OG0000067	KAI8034981.1, KAI8034977.1	FBpp0301976, FBpp0302586, FBpp0307844, FBpp0111600, FBpp0301979, FBpp0301978, FBpp0302587, FBpp0301975, FBpp0301974, FBpp0111601, FBpp0307842, FBpp0307843, FBpp0111602
OG0000069	KAI8038428.1	FBpp0290718, FBpp0290721, FBpp0290719
OG0000070	KAI8037366.1	FBpp0086785
OG0000070	KAI8040057.1	FBpp0087256
OG0000070	KAI8039676.1	FBpp0087257
OG0000070	KAI8039671.1, KAI8039800.1, KAI8039672.1	FBpp0087225, FBpp0087255, FBpp0087224, FBpp0087254, FBpp0087223, FBpp0311842
OG0000071	KAI8038993.1	FBpp0305686, FBpp0305685
OG0000071	KAI8039264.1	FBpp0305678, FBpp0305684, FBpp0305682, FBpp0305683, FBpp0305680, FBpp0305681, FBpp0305677, FBpp0312585, FBpp0311738, FBpp0305679, FBpp0311739, FBpp0305693, FBpp0305687, FBpp0305692, FBpp0305691, FBpp0305688
OG0000073	KAI8037020.1	FBpp0100030, FBpp0087852, FBpp0087854, FBpp0291131, FBpp0087853, FBpp0312421, FBpp0303481, FBpp0303480, FBpp0293224, FBpp0293223, FBpp0291129, FBpp0291130
OG0000074	KAI8046381.1	FBpp0112300, FBpp0112297, FBpp0112296, FBpp0084301, FBpp0112298, FBpp0307557, FBpp0112299, FBpp0307558, FBpp0084302
OG0000075	KAI8040194.1	FBpp0293348, FBpp0293351, FBpp0293347, FBpp0293349, FBpp0305323, FBpp0293355, FBpp0309526, FBpp0305324, FBpp0305322, FBpp0293354, FBpp0293353, FBpp0293352
OG0000076	KAI8045751.1	FBpp0308433, FBpp0081173, FBpp0081172, FBpp0300399, FBpp0308432, FBpp0310674, FBpp0311037, FBpp0081174, FBpp0300400, FBpp0310673, FBpp0308434, FBpp0300398
OG0000077	KAI8035643.1	FBpp0293370, FBpp0293374, FBpp0293376, FBpp0293371, FBpp0305423, FBpp0293373
OG0000079	KAI8035027.1	FBpp0423145, FBpp0305497, FBpp0071382
OG0000079	KAI8035859.1	FBpp0071650
OG0000079	KAI8035874.1	FBpp0071719
OG0000079	KAI8046835.1	FBpp0082067
OG0000079	KAI8035058.1	FBpp0073834
OG0000080	KAI8035625.1	FBpp0290809, FBpp0290810, FBpp0089277, FBpp0089280, FBpp0290811, FBpp0309359, FBpp0073928, FBpp0073929, FBpp0089278, FBpp0110335, FBpp0089279, FBpp0110336, FBpp0290812, FBpp0305867
OG0000081	KAI8033927.1	FBpp0111592, FBpp0099673, FBpp0288854, FBpp0305893, FBpp0288856, FBpp0428136, FBpp0290873, FBpp0288857, FBpp0288855, FBpp0311479, FBpp0288858, FBpp0305895
OG0000082	KAI8036764.1	FBpp0306995, FBpp0306993, FBpp0306994
OG0000083	KAI8036090.1	FBpp0293028, FBpp0311215, FBpp0293030, FBpp0293027, FBpp0293026, FBpp0293024, FBpp0293029, FBpp0293031, FBpp0293023
OG0000084	KAI8045507.1	FBpp0290922, FBpp0290921
OG0000084	KAI8038764.1	FBpp0291083
OG0000084	KAI8038763.1	FBpp0291081, FBpp0100058, FBpp0291082
OG0000084	KAI8044597.1	FBpp0082130, FBpp0082129, FBpp0303058
OG0000085	KAI8034806.1	FBpp0303701, FBpp0303705, FBpp0303695, FBpp0303692, FBpp0303699, FBpp0303703, FBpp0303710, FBpp0303697, FBpp0303704, FBpp0312374, FBpp0307710, FBpp0303706, FBpp0303713, FBpp0303689, FBpp0303708, FBpp0303700, FBpp0303712, FBpp0303693
OG0000086	KAI8038666.1, KAI8033163.1, KAI8033028.1, KAI8033086.1, KAI8033384.1, KAI8033027.1	FBpp0087080, FBpp0087081
OG0000086	KAI8035452.1	FBpp0070763
OG0000086	KAI8040572.1	FBpp0076158
OG0000086	KAI8037182.1	FBpp0290086
OG0000087	KAI8043124.1	FBpp0304725, FBpp0304728, FBpp0308841, FBpp0288702, FBpp0288701, FBpp0080528, FBpp0304724, FBpp0304726, FBpp0290656, FBpp0080530, FBpp0290655, FBpp0080529, FBpp0304727, FBpp0428168, FBpp0290657
OG0000088	KAI8040518.1	FBpp0297493, FBpp0312154, FBpp0289726, FBpp0304391, FBpp0076491, FBpp0304392, FBpp0076492, FBpp0076490, FBpp0304393, FBpp0304390
OG0000089	KAI8038959.1, KAI8038960.1	FBpp0290562, FBpp0304414, FBpp0304413, FBpp0072421, FBpp0072422, FBpp0304412, FBpp0304411, FBpp0089425, FBpp0290563
OG0000090	KAI8044526.1, KAI8044527.1	FBpp0289022, FBpp0289020, FBpp0289027, FBpp0289028, FBpp0289023, FBpp0289026, FBpp0289030, FBpp0289031, FBpp0428182, FBpp0300822, FBpp0289021, FBpp0300824, FBpp0289025
OG0000091	KAI8037306.1	FBpp0289704, FBpp0289706, FBpp0289705, FBpp0088066, FBpp0302795, FBpp0302796, FBpp0089176, FBpp0307851, FBpp0289708, FBpp0300518, FBpp0289707, FBpp0302794
OG0000092	KAI8035337.1	FBpp0307432, FBpp0085089
OG0000092	KAI8044900.1	FBpp0075284, FBpp0075283, FBpp0307466, FBpp0079448, FBpp0089382, FBpp0085090, FBpp0307433
OG0000093	KAI8044034.1	FBpp0082451
OG0000093	KAI8044035.1	FBpp0082450
OG0000093	KAI8044033.1	FBpp0082452
OG0000093	KAI8045219.1	FBpp0083218, FBpp0306944, FBpp0306943, FBpp0083219, FBpp0083217, FBpp0083220
OG0000094	KAI8036137.1	FBpp0113087, FBpp0113086, FBpp0071286, FBpp0309977, FBpp0071287, FBpp0301190, FBpp0301189
OG0000095	KAI8034749.1	FBpp0070104, FBpp0298293, FBpp0298295, FBpp0298296
OG0000096	KAI8040184.1, KAI8036343.1, KAI8036342.1	FBpp0308472, FBpp0289125, FBpp0289124, FBpp0289754, FBpp0289123, FBpp0290980, FBpp0308473
OG0000097	KAI8043337.1	FBpp0079602, FBpp0079601, FBpp0079600, FBpp0079599, FBpp0079603, FBpp0304027, FBpp0293056, FBpp0079604, FBpp0304029, FBpp0304028, FBpp0293055
OG0000098	KAI8039802.1	FBpp0300662, FBpp0300661, FBpp0300663, FBpp0303273, FBpp0300665, FBpp0300666, FBpp0305951, FBpp0305949, FBpp0305950
OG0000100	KAI8036922.1	FBpp0291842, FBpp0428188, FBpp0291844, FBpp0428184, FBpp0428186, FBpp0291843, FBpp0310600
OG0000101	KAI8041750.1	FBpp0111702, FBpp0303169, FBpp0311523, FBpp0075116, FBpp0303166, FBpp0303163, FBpp0303165, FBpp0303164, FBpp0303167, FBpp0303168
OG0000102	KAI8043478.1	FBpp0291725, FBpp0304522, FBpp0099650, FBpp0308838, FBpp0308839, FBpp0304521, FBpp0304520, FBpp0078652, FBpp0304519, FBpp0099647, FBpp0099649, FBpp0078651
OG0000103	KAI8045605.1	FBpp0084750, FBpp0084743, FBpp0084748, FBpp0084745, FBpp0084746, FBpp0290864, FBpp0290865, FBpp0084744, FBpp0084749, FBpp0307388
OG0000104	KAI8043661.1	FBpp0428121, FBpp0428118, FBpp0428119, FBpp0428117, FBpp0428120, FBpp0304338, FBpp0304340, FBpp0304337, FBpp0304341, FBpp0304339
OG0000105	KAI8033658.1	FBpp0292304, FBpp0311298, FBpp0311299, FBpp0307657, FBpp0290539, FBpp0111619, FBpp0307656, FBpp0307654, FBpp0307653, FBpp0111618, FBpp0307655, FBpp0290538, FBpp0307658, FBpp0111616, FBpp0311300, FBpp0292303
OG0000106	KAI8035743.1	FBpp0293112, FBpp0087721, FBpp0293111, FBpp0087719, FBpp0293113, FBpp0300426, FBpp0293114, FBpp0293110, FBpp0087720, FBpp0087718
OG0000108	KAI8037993.1	FBpp0303617, FBpp0303615, FBpp0303616, FBpp0078955, FBpp0303618, FBpp0112322, FBpp0303619, FBpp0303614
OG0000109	KAI8041417.1	FBpp0076483, FBpp0076484, FBpp0305018, FBpp0305015, FBpp0311832, FBpp0305017, FBpp0305019, FBpp0305014, FBpp0305016, FBpp0289641
OG0000110	KAI8034283.1	FBpp0291794, FBpp0291795, FBpp0305122, FBpp0301694, FBpp0301696, FBpp0291798, FBpp0301693, FBpp0301695, FBpp0291799, FBpp0291796, FBpp0291797
OG0000111	KAI8035247.1, KAI8035249.1	FBpp0304167, FBpp0304166, FBpp0304168, FBpp0304165, FBpp0112438, FBpp0078807, FBpp0078808, FBpp0078806, FBpp0297911, FBpp0303628, FBpp0078809
OG0000112	KAI8041866.1	FBpp0080795, FBpp0303747, FBpp0303746, FBpp0303748
OG0000112	KAI8033415.1, KAI8041963.1, KAI8041965.1, KAI8035860.1, KAI8042668.1, KAI8043711.1	FBpp0080369
OG0000113	KAI8046119.1	FBpp0289817, FBpp0082316, FBpp0306562, FBpp0302741
OG0000113	KAI8046134.1	FBpp0084671, FBpp0084672, FBpp0084670, FBpp0084669, FBpp0084667, FBpp0084668
OG0000115	KAI8046454.1	FBpp0310709, FBpp0083402, FBpp0083403, FBpp0083404, FBpp0310708, FBpp0301141, FBpp0301143, FBpp0301142, FBpp0301144
OG0000116	KAI8046194.1	FBpp0293459, FBpp0111537, FBpp0310723, FBpp0293457, FBpp0293458, FBpp0291246
OG0000117	KAI8043121.1	FBpp0079504, FBpp0292901, FBpp0079506, FBpp0303720, FBpp0079505
OG0000118	KAI8043784.1	FBpp0292893, FBpp0111561, FBpp0292892, FBpp0292897, FBpp0309226, FBpp0292896, FBpp0111560, FBpp0292895, FBpp0309227, FBpp0292894
OG0000119	KAI8041980.1	FBpp0308643, FBpp0080952, FBpp0292071, FBpp0080949, FBpp0292070, FBpp0311736, FBpp0308641, FBpp0080947, FBpp0292069, FBpp0292068, FBpp0308640, FBpp0308639, FBpp0080946, FBpp0080948
OG0000120	KAI8037722.1	FBpp0075475, FBpp0075474, FBpp0297579, FBpp0297575, FBpp0297574, FBpp0075476, FBpp0089174, FBpp0298020
OG0000121	KAI8039751.1, KAI8039754.1	FBpp0423272, FBpp0423271, FBpp0310609, FBpp0310615, FBpp0303042, FBpp0310614, FBpp0310612, FBpp0310611, FBpp0310613, FBpp0310616, FBpp0310617, FBpp0303046, FBpp0310610, FBpp0303048, FBpp0303047
OG0000122	KAI8036481.1	FBpp0306552, FBpp0311242, FBpp0088734, FBpp0290554, FBpp0306553
OG0000123	KAI8039096.1	FBpp0297491, FBpp0297233, FBpp0300522, FBpp0297492, FBpp0297231, FBpp0305748, FBpp0305747
OG0000124	KAI8041644.1	FBpp0305977, FBpp0271917, FBpp0271914, FBpp0271919
OG0000124	KAI8041643.1, KAI8041647.1, KAI8041648.1	FBpp0074754, FBpp0074699, FBpp0074752, FBpp0305978
OG0000125	KAI8046614.1	FBpp0085025, FBpp0085024, FBpp0291320, FBpp0297626, FBpp0291756, FBpp0085023, FBpp0291322, FBpp0085020, FBpp0085021, FBpp0085022, FBpp0291321, FBpp0291757
OG0000126	KAI8040101.1	FBpp0088573
OG0000127	KAI8040744.1	FBpp0075795
OG0000128	KAI8040493.1	FBpp0076508, FBpp0076510, FBpp0089151, FBpp0076509, FBpp0304221, FBpp0089150, FBpp0304218, FBpp0304220
OG0000129	KAI8033682.1	FBpp0303505, FBpp0077829, FBpp0297547, FBpp0297546, FBpp0077824, FBpp0077825, FBpp0077827, FBpp0077826, FBpp0297545, FBpp0297544, FBpp0077828
OG0000130	KAI8044692.1	FBpp0081670, FBpp0081669, FBpp0081667, FBpp0081668, FBpp0081671, FBpp0081666, FBpp0081665, FBpp0311386, FBpp0081664
OG0000132	KAI8036123.1	FBpp0071213, FBpp0300513, FBpp0071214, FBpp0303991, FBpp0089235, FBpp0089232, FBpp0071212, FBpp0089233, FBpp0089234, FBpp0089231, FBpp0089236, FBpp0300514
OG0000134	KAI8033391.1, KAI8033394.1	FBpp0305706, FBpp0305708, FBpp0305707, FBpp0305713, FBpp0305711, FBpp0305712, FBpp0305709, FBpp0305710
OG0000135	KAI8035074.1	FBpp0311302, FBpp0311301, FBpp0423148, FBpp0300627, FBpp0300628
OG0000136	KAI8034795.1	FBpp0292399, FBpp0073454, FBpp0292402, FBpp0073456, FBpp0073452, FBpp0311374, FBpp0292401, FBpp0073453, FBpp0305930, FBpp0305931, FBpp0073455, FBpp0292400
OG0000137	KAI8045555.1	FBpp0082848
OG0000137	KAI8042775.1	FBpp0080012
OG0000137	KAI8045940.1	FBpp0110071, FBpp0310697, FBpp0081231, FBpp0312437
OG0000138	KAI8033543.1	FBpp0076903, FBpp0300183, FBpp0076905, FBpp0300179, FBpp0089305, FBpp0300181, FBpp0089304, FBpp0300180, FBpp0089306, FBpp0300182, FBpp0076902, FBpp0076904, FBpp0300184
OG0000139	KAI8045272.1, KAI8045274.1	FBpp0306934, FBpp0288988, FBpp0306933, FBpp0306931, FBpp0289752, FBpp0312543, FBpp0306932, FBpp0288987
OG0000140	KAI8044105.1	FBpp0291390, FBpp0293137, FBpp0301565, FBpp0310142, FBpp0291391
OG0000141	KAI8039827.1	FBpp0271771, FBpp0292978, FBpp0292980, FBpp0292979, FBpp0297611, FBpp0292975, FBpp0292976, FBpp0271772, FBpp0292974, FBpp0292977
